STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,TOTAL_REVENUE
Alabama,2015,734974,7360222,795238,4080167,2484817,7501799,3817479,2414860,594283,510091,266.5553185,Mathematics,8,7360222
Alaska,2015,130755,2920986,344111,2026555,550320,2968341,1484610,1068849,92766,281914,280.4934562,Mathematics,8,2920986
Arizona,2015,944978,8230507,1093834,3232013,3904660,7902600,3846357,2880184,478876,497662,282.9194894,Mathematics,8,8230507
Arkansas,2015,479682,5308625,581412,4075118,652095,5350543,2620399,1772639,290396,511556,275.0647564,Mathematics,8,5308625
California,2015,6226523,78248042,7556365,42360470,28331207,78365958,38951948,23501848,3754315,6373893,275.324573,Mathematics,8,78248042
Colorado,2015,872320,9648297,715254,4354525,4578518,9557682,4578938,3170482,397263,923360,285.5391887,Mathematics,8,9648297
Connecticut,2015,505366,11099837,444073,4353546,6302218,10542667,6006275,3233901,362941,530491,283.9566773,Mathematics,8,11099837
Delaware,2015,121845,2017075,137544,1142333,737198,1975093,1072395,583951,122741,103129,279.8102438,Mathematics,8,2017075
District of Columbia,2015,46155,1382282,146366,0,1235916,1360942,557345,379854,41841,381902,263.0597763,Mathematics,8,1382282
Florida,2015,2743641,26971491,3118041,10661586,13191864,27277049,14931173,8186082,1816178,1681665,275.323818,Mathematics,8,26971491
Georgia,2015,1717805,18584666,1831221,8310872,8442573,18501103,10081483,5324072,996277,1879063,278.7117968,Mathematics,8,18584666
Hawaii,2015,182384,2703683,259390,2381547,62746,2521004,1377713,835930,145560,161801,279.340145,Mathematics,8,2703683
Idaho,2015,274131,2167967,232449,1381205,554313,2029520,1130814,663005,108684,75680,283.7423253,Mathematics,8,2167967
Illinois,2015,2047123,32096832,2262192,11858968,17975672,32410033,17313173,10279691,992075,2056951,281.9685673,Mathematics,8,32096832
Indiana,2015,1004215,12456571,929878,7676341,3850352,11378564,5537406,3712136,547516,948358,287.1752011,Mathematics,8,12456571
Iowa,2015,505311,6714410,458457,3460798,2795155,6772654,3383909,1912222,262267,842674,286.41622,Mathematics,8,6714410
Kansas,2015,496920,5991731,475273,3967809,1548649,6175724,3051755,1692953,250584,963767,283.8710963,Mathematics,8,5991731
Kentucky,2015,688475,7548871,848963,4176753,2523155,7554887,3807748,2417226,468694,600859,277.9472601,Mathematics,8,7548871
Louisiana,2015,661015,8448743,1235580,3480365,3732798,8437263,4100906,2774314,416066,780338,268.4323551,Mathematics,8,8448743
Maine,2015,176176,2739589,183883,1060925,1494781,2596180,1406898,910381,109541,55686,284.875477,Mathematics,8,2739589
Maryland,2015,874108,14491642,819162,6267624,7404856,13882823,7686024,4358416,386104,1050651,283.1490341,Mathematics,8,14491642
Massachusetts,2015,916130,16985185,778939,6808436,9397810,16972319,9774884,5043032,497880,1034539,296.9085714,Mathematics,8,16985185
Michigan,2015,1345009,19025996,1582706,10510346,6932944,17742903,9040821,5839572,831874,967476,278.1686519,Mathematics,8,19025996
Minnesota,2015,807044,11684249,629909,7567199,3487141,11969872,6257807,2933999,893322,1328863,294.147778,Mathematics,8,11684249
Mississippi,2015,490189,4592343,672366,2324855,1595122,4624539,2350872,1525340,285117,407791,270.5804793,Mathematics,8,4592343
Missouri,2015,892779,10623391,948600,4441091,5233700,10540353,5387766,3266781,615166,869078,280.8214257,Mathematics,8,10623391
Montana,2015,144447,1804339,214980,851068,738291,1804841,940488,581694,80426,160885,287.4640055,Mathematics,8,1804339
Nebraska,2015,312281,4248695,344382,1350116,2554197,4283846,2446701,1102622,183067,449287,286.4985635,Mathematics,8,4248695
Nevada,2015,438948,4345419,395630,2744606,1205183,4183085,2170424,1459504,174388,205794,275.1718688,Mathematics,8,4345419
New Hampshire,2015,183039,3093061,164905,1000063,1928093,3044720,1697165,938368,75581,125475,294.4130187,Mathematics,8,3093061
New Jersey,2015,1339230,29335237,1154004,11423305,16757928,28809725,15339450,9414336,1271558,1290946,293.3659382,Mathematics,8,29335237
New Mexico,2015,326297,3789651,499789,2595682,694180,3846641,1773801,1256303,154435,587243,270.8975344,Mathematics,8,3789651
New York,2015,2631532,63712218,2869847,25900858,34941513,65094591,41954260,15714795,1540851,4536014,280.0892201,Mathematics,8,63712218
North Carolina,2015,1465031,13146934,1589570,8172685,3384679,14060699,7960222,4082387,746694,698847,281.3310911,Mathematics,8,13146934
North Dakota,2015,106061,1644533,158373,942772,543388,1804762,825445,483984,110836,303053,288.2441472,Mathematics,8,1644533
Ohio,2015,1600222,24378660,1676820,10169760,12532080,22561728,11620080,7324444,922732,1750785,285.0619551,Mathematics,8,24378660
Oklahoma,2015,671715,6121188,688990,2993050,2439148,6184819,3000894,2041507,414086,663768,274.5859821,Mathematics,8,6121188
Oregon,2015,570376,7111710,577106,3678001,2856603,7011609,3650855,2272382,249968,477516,282.8148994,Mathematics,8,7111710
Pennsylvania,2015,1589429,29967185,1857885,10532452,17576848,29690645,16058338,8196747,1050310,1663209,283.6684154,Mathematics,8,29967185
Rhode Island,2015,134574,2367068,184718,908963,1273387,2326473,1322055,792525,90209,50889,281.4452196,Mathematics,8,2367068
